AC_NUM, ACID, TRACK_CNT, ST_TIME, END_TIME, ORIG_TRACK_CNT, ORIG_ST_TIME, ORIG_END_TIME, TRACK_QSTAT, MAX_X, MIN_X, MAX_Y, MIN_Y, MAX_Z, MIN_Z, AC_EQ, AC_TYP, DEST_FIX, FLIG, ORIGIN_FIX, PRM_ID, GAP_VALUE, MAX_X_SMO, MIN_X_SMO, MAX_Y_SMO, MIN_Y_SMO, MAX_Z_SMO, MIN_Z_SMO, TOD_TIME, TOC_TIME, TOC_ALT, END_, STAR,END_CENTER_TIME, START_CENTER_TIME, 	
        53,ABJ311_439     ,       215,     36240,     38380,           175,       36239,        38384,          0,     247.5,    41.031,   595.669,   520.242,     37000,       300,L    ,B764  ,IAD                 ,UNK ,PHNL                ,        -1,         0,   247.488,    42.389,   595.302,   520.356,     37000,       300,        -1,        -1,     99900,n/a ,ZOB ,          37190,            36800
        54,ABJ3122_524    ,       219,     81010,     83190,           177,       81007,        83198,          0,   280.482,    55.738,   557.969,    528.65,     32000,      2361,L    ,B739  ,LAX                 ,DEP ,BWI                 ,        -1,         0,   279.706,    56.438,    557.54,   528.786,     32000,      2857,        -1,     82320,     32000,n/a ,ZDC ,          82550,            81190
        55,ABJ3125_150    ,       199,     42980,     44960,           161,       42979,        44969,          0,   263.859,      55.8,   567.775,   524.941,     36000,      4341,L    ,B738  ,ORD                 ,DEP ,DCA                 ,        -1,         0,   263.473,    56.434,   567.343,    525.43,     36000,      4753,        -1,     44020,     36000,n/a ,ZDC ,          44110,            43000
        56,ABJ3126_59W    ,       524,     74500,     79730,           418,       74497,        79738,          0,     403.7,   227.333,   645.609,   126.226,     37000,      2400,L    ,B738  ,EWR                 ,UNK ,MDSD                ,        -1,         0,    403.68,   227.561,   645.478,   127.231,     37000,      2453,     77060,        -1,     99900,n/a ,ZJX ,          78590,            74810
        57,ABJ3127_141    ,       452,     50100,     54610,           360,       50094,        54611,          0,     400.4,     224.7,   635.783,   137.825,     36000,      7630,L    ,B738  ,MDSD                ,UNK ,EWR                 ,        -1,         0,   400.172,   224.923,   635.183,   139.029,     36000,      7912,        -1,     51190,     34000,n/a ,ZNY ,          53910,            50500
        58,ABJ3131_755    ,       445,     48720,     53160,           356,       48714,        53168,          0,   402.237,     221.6,     636.7,   138.867,     36000,      3350,L    ,B738  ,TAPA                ,UNK ,EWR                 ,        -1,         0,   401.798,   221.777,   636.431,   139.793,     36000,      3628,        -1,     50250,     36000,n/a ,ZNY ,          52470,            49200
        59,ABJ3133_461    ,       270,     81760,     84450,           218,       81755,        84456,          0,   280.408,    19.408,       543,   382.062,     34000,      2450,L    ,B739  ,IAH                 ,DEP ,BWI                 ,        -1,         0,   279.932,    20.086,   542.883,   382.774,     34000,      2823,        -1,     83130,     34000,n/a ,ZDC ,          83520,            82110
        60,ABJ3135_906    ,       509,     39980,     45060,           405,       39980,        45068,          0,     400.4,      99.6,       632,     139.1,     41000,       100,L    ,B738  ,EWR                 ,OVR ,MIA                 ,        -1,         0,   400.189,    99.983,   631.566,   140.258,     41000,       102,     43760,        -1,     99900,n/a ,ZJX ,          44220,            40970
        61,ABJ313_638     ,       259,     81850,     84430,           208,       81841,        84430,          0,   386.623,   248.331,     664.4,     518.7,     34000,       300,L    ,B752  ,IAD                 ,UNK ,LFPG                ,        -1,         0,   386.391,   248.401,   663.594,   518.944,     34000,       300,        -1,        -1,     99900,n/a ,ZNY ,              0,            81850
        62,ABJ3144_414    ,       506,     72540,     77590,           401,       72531,        77597,          0,   403.993,     219.4,       647,   140.725,     36000,      3000,L    ,B739  ,EWR                 ,UNK ,MBPV                ,        -1,         0,   403.745,   219.572,   646.935,   141.526,     36000,      3021,     75680,     74180,     36000,n/a ,ZJX ,          76500,            72730
        63,ABJ3148_85P    ,       513,     66090,     71210,           409,       66085,        71212,          0,     405.1,     221.5,    646.45,   135.183,     39000,      1900,L    ,B738  ,EWR                 ,UNK ,MYNN                ,        -1,         0,   404.861,   221.541,   646.207,    136.17,     39000,      1901,     69150,        -1,     99900,n/a ,ZJX ,          70110,            66310
        64,ABJ3149_586    ,       441,     50440,     54840,           353,       50431,        54848,          0,    402.05,   224.325,   633.325,   139.462,     34938,      7850,L    ,B739  ,MBPV                ,UNK ,EWR                 ,        -1,         0,   401.704,   224.623,   632.828,     140.4,     34839,      7896,        -1,     51640,     34000,n/a ,ZNY ,          54130,            50900
        65,ABJ3155_974    ,       216,     20360,     22510,           179,       20360,        22516,          0,   248.675,      15.4,    527.65,   514.242,     41000,       300,L    ,B738  ,IAD                 ,ARR ,SFO                 ,        -1,         0,   248.641,    16.817,   527.197,   514.338,     41000,       300,     21050,        -1,     99900,n/a ,ZID ,          21420,            20710
        66,ABJ3156_07P    ,       488,     52080,     56950,           387,       52073,        56950,          0,     398.5,    71.931,       628,   143.354,     37000,      1500,L    ,B738  ,EWR                 ,OVR ,MCO                 ,        -1,         0,     398.2,    72.403,   627.383,   144.226,     37000,      1508,     55310,        -1,     99900,n/a ,ZJX ,          56170,            53090
        67,ABJ3158_019    ,       439,     13600,     17980,           362,       13592,        17985,          0,   399.975,   193.333,    630.85,     149.9,     39000,       400,L    ,B738  ,EWR                 ,OVR ,PBI                 ,        -1,         0,   399.774,   193.576,   630.465,   150.788,     39000,       405,     16540,        -1,     99900,n/a ,ZJX ,          17200,            13830
        68,ABJ3163_389    ,       236,     51630,     53980,           190,       51625,        53989,          0,   243.431,     16.75,   526.246,   393.075,     34000,      2015,L    ,B738  ,LAX                 ,DEP ,IAD                 ,        -1,         0,   242.959,    17.532,   525.977,    393.35,     34000,      2366,        -1,     52940,     34000,n/a ,ZDC ,          52930,            51730
        69,ABJ3166_551    ,       395,      8400,     12340,           317,        8393,        12344,          0,     359.5,        22,     582.7,   304.085,     37000,       133,L    ,B739  ,PHL                 ,OVR ,IAH                 ,        -1,         0,   359.344,    22.794,    582.57,   304.639,     37000,       251,        -1,        -1,     99900,n/a ,ZTL ,          11390,             9000
        70,ABJ3170_783    ,       266,     35610,     38260,           218,       35608,        38261,          0,   264.689,    16.892,     529.3,   388.038,     40000,      4200,L    ,B737  ,IAH                 ,DEP ,DCA                 ,        -1,         0,   264.223,    17.859,   529.156,    388.45,     40000,      4723,        -1,     36530,     38000,n/a ,ZDC ,          37100,            35830
        71,ABJ3173_000    ,       270,     51930,     54620,           216,       51924,        54624,          0,     247.5,     15.05,   528.585,    442.45,     31000,       300,L    ,B739  ,IAD                 ,ARR ,IAH                 ,        -1,         0,    247.47,    15.972,    528.17,   442.938,     31000,       302,     52620,        -1,     99900,n/a ,ZID ,          53510,            52340
        72,ABJ3173_077    ,       189,     69460,     71340,           153,       69458,        71349,          0,   242.269,     41.85,   526.867,     521.4,     32000,      2450,L    ,B739  ,SFO                 ,DEP ,IAD                 ,        -1,         0,   241.551,    42.649,   526.653,   521.466,     32000,      2783,        -1,     70780,     32000,n/a ,ZDC ,          70600,            69540
        73,ABJ3175_255    ,       512,     78860,     83970,           408,       78854,        83970,          0,     398.1,     207.5,     627.2,   125.052,     39000,      1500,L    ,B738  ,EWR                 ,UNK ,TAPA                ,        -1,         0,   397.833,   207.683,   626.658,   125.946,     39000,      1542,     82140,     79730,     39000,n/a ,ZJX ,          83090,            79310
        74,ABJ3178_163    ,       419,     64040,     68220,           338,       64032,        68225,          0,   398.635,    37.017,    626.67,   356.534,     40000,      2566,L    ,B737  ,ATL                 ,OVR ,EWR                 ,        -1,         0,   398.266,    37.742,   626.456,   357.153,     40000,      2766,     68200,     65050,     40000,n/a ,ZNY ,          67340,            65180
        75,ABJ317_792     ,       136,      9390,     10740,           109,        9384,        10743,          0,    366.75,   246.138,   616.475,   530.597,     37000,      3550,L    ,B752  ,LFPG                ,UNK ,IAD                 ,        -1,         0,   365.415,   246.232,   616.104,   531.013,     37000,      3766,        -1,     10440,     37000,n/a ,ZDC ,           9790,             9430
        76,ABJ3184_787    ,       421,     49830,     54030,           340,       49821,        54039,          0,   412.877,      17.8,   664.246,   388.025,     38000,     33900,L    ,B738  ,IAH                 ,OVR ,BOS                 ,        -1,         0,   412.299,    18.751,   663.818,   388.536,     38000,     33924,        -1,     51350,     36000,n/a ,ZNY ,          53010,            51030
        77,ABJ3187_719    ,       446,     43990,     48440,           358,       43986,        48440,          0,   400.085,     140.6,   635.475,     191.1,     34000,      3153,L    ,B739  ,PBI                 ,OVR ,EWR                 ,        -1,         0,   399.571,   141.275,    635.24,   192.167,     34000,      3442,        -1,     45040,     34000,n/a ,ZNY ,          47530,            44450
